content_id,queue_score,model_score,action_label,reason_code,days_since_last_update,impressions_90d,avg_position,ctr,engagement_rate,is_down
content_bc7d9edf34e5,6.531411035606544,0.6557510817780977,NO_ACTION,FRESH_LOW_RISK,20,21166,30.7,0.2,1.99,0
content_bbdc171c4bc6,6.529563571775987,0.6815652362187526,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,20,14475,3.2,0.13,0.0,1
content_b45048bf83d0,6.528196262169376,0.8093896193108624,REVIEW_REFRESH,STALE_VISIBLE,104,3182,0.9,0.06,0.0,1
content_c31c3add99f4,6.527854818005644,0.7307029554087038,NO_ACTION,FRESH_LOW_RISK,13,7582,37.0,0.05,7.14,1
content_499b43accd7e,6.52759267038917,0.6651084407980037,NO_ACTION,FRESH_LOW_RISK,20,18293,23.8,0.11,3.03,1
content_77ca734cbd5d,6.526908535231199,0.7525697698350953,REVIEW_REFRESH,STALE_VISIBLE,104,5841,3.1,0.12,15.38,1
content_f7671038eb94,6.526136329485031,0.7064704414772061,REVIEW_REFRESH,STALE_VISIBLE,104,10276,45.9,0.02,0.0,0
content_939ac0b7c80e,6.519059712006158,0.6287611667383216,NO_ACTION,FRESH_LOW_RISK,20,31827,22.4,0.83,4.62,1
content_edea39daa1db,6.518896480015042,0.7092731312181114,REVIEW_REFRESH,STALE_VISIBLE,104,9807,3.6,0.12,11.11,0
content_dc8482da17c4,6.5169467100036895,0.6643203578764166,NO_ACTION,FRESH_LOW_RISK,20,18213,24.2,0.12,2.63,1
content_53e3110b0240,6.515860914419928,0.6548893704116574,REVIEW_REFRESH,STALE_VISIBLE,104,20942,3.4,0.22,0.0,1
content_5c64c00bfcbd,6.513959686734381,0.7040990259427384,REVIEW_REFRESH,STALE_VISIBLE,104,10419,44.6,0.06,0.46,1
content_1fd60831ce3e,6.513403826241237,0.7011909104473404,NO_ACTION,FRESH_LOW_RISK,20,10818,34.6,0.07,0.0,1
content_72cbc0925ce1,6.5131159403098975,0.5978191552014582,REVIEW_REFRESH,STALE_VISIBLE,104,53894,36.9,0.06,0.56,1
content_186489efe6f4,6.51284215189751,0.7684849478366631,REVIEW_REFRESH,STALE_VISIBLE,104,4792,2.3,0.06,0.0,0
content_34d6d80e0a51,6.505172422730571,0.7238971438850611,REVIEW_REFRESH,STALE_VISIBLE,104,7992,3.5,0.11,10.0,1
content_11a4f985f14d,6.50213682092825,0.6646967213069861,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,20,17713,3.7,0.02,0.0,1
content_11267b0c9023,6.4978814219731245,0.5930716533062188,REVIEW_REFRESH,STALE_VISIBLE,104,57314,42.0,0.04,1.25,0
content_27806249a156,6.497611756772909,0.7606938735098352,REVIEW_REFRESH,STALE_VISIBLE,104,5123,2.0,0.04,0.0,0
content_e0632fafadc8,6.4973723269631805,0.6647798379987148,NO_ACTION,FRESH_LOW_RISK,20,17565,24.0,0.11,8.7,1
content_556c5e4eb2de,6.495670396505309,0.6780274178399847,NO_ACTION,FRESH_LOW_RISK,14,14475,34.7,0.29,5.0,1
content_0636f7bcfa05,6.494666495640733,0.6677897258752236,NO_ACTION,FRESH_LOW_RISK,26,16740,24.1,0.04,1.35,1
content_ebff410c5771,6.494141237388538,0.633316507870705,REVIEW_REFRESH,STALE_VISIBLE,104,28400,6.2,0.04,4.76,1
content_87f1ffe0bedb,6.4940991763126785,0.7203615584297397,REVIEW_REFRESH,STALE_VISIBLE,104,8225,1.7,0.23,0.0,1
content_5eb326931551,6.493447970631048,0.8064094474170304,REVIEW_REFRESH,STALE_VISIBLE,104,3140,2.8,0.06,0.0,1
content_8df036e4a882,6.493305357563841,0.7202443720094667,REVIEW_REFRESH,STALE_VISIBLE,104,8228,3.5,0.13,4.0,1
content_82f54bb9c586,6.493274693282346,0.6523973799193589,REVIEW_REFRESH,VISIBLE_STRIKING,26,21013,19.1,0.06,0.0,1
content_33a2ec3db00c,6.492573296879463,0.6349913073788557,REVIEW_REFRESH,VISIBLE_STRIKING,26,27574,12.6,0.01,5.26,1
content_733815afb7a5,6.4921275513503085,0.7321436533923439,NO_ACTION,FRESH_LOW_RISK,20,7095,2.6,0.04,0.0,1
content_5a9629ab92d4,6.491491158003743,0.7655707074075063,REVIEW_REFRESH,STALE_VISIBLE,104,4813,2.4,0.06,0.0,0
content_e50995bb46d4,6.48978195820709,0.8020063429230474,REVIEW_REFRESH,STALE_VISIBLE,104,3267,1.9,0.09,0.0,1
content_b2ec40b9d68c,6.4891427794948395,0.6448538353755783,REVIEW_REFRESH,STALE_VISIBLE,104,23457,47.3,0.04,0.0,0
content_5feee3994adb,6.489086007662673,0.7239419805686201,REVIEW_REFRESH,STALE_VISIBLE,194,7812,39.0,0.01,0.0,1
content_b4c79208b569,6.488934283472032,0.8025715306563079,REVIEW_REFRESH,STALE_VISIBLE,104,3245,1.9,0.06,0.0,1
content_582241994f52,6.488571305364326,0.6571091645913194,REVIEW_REFRESH,STALE_VISIBLE,104,19426,4.9,0.09,0.0,1
content_d4bcbcc3da99,6.488480164185938,0.6552473659251231,REVIEW_REFRESH,STALE_VISIBLE,104,19976,23.9,0.05,4.92,1
content_88d367c507a3,6.486034318566935,0.550483071124682,REVIEW_REFRESH,STALE_VISIBLE,104,130932,40.1,0.04,1.99,0
content_c7d517e2b248,6.482944147598299,0.6317835843146371,REVIEW_REFRESH,STALE_VISIBLE,104,28604,42.8,0.13,0.66,1
content_f28e5f6e9ee0,6.481101452186824,0.6644556901572527,NO_ACTION,FRESH_LOW_RISK,20,17222,22.4,0.12,10.71,1
content_ab4910f75007,6.480453815993231,0.6634557943264974,REVIEW_REFRESH,STALE_VISIBLE,104,17460,4.8,0.09,0.0,1
content_b592819b7dcc,6.4802079385906906,0.6770361579190133,NO_ACTION,FRESH_LOW_RISK,20,14348,25.2,0.12,0.0,1
content_5c44b0fda035,6.480064982874257,0.6482940010700626,NO_ACTION,FRESH_LOW_RISK,20,21928,24.4,0.17,5.13,1
content_3566e148d9d4,6.478115675636189,0.6972187761810481,REVIEW_REFRESH,VISIBLE_STRIKING,14,10843,19.5,0.08,6.25,1
content_dadec10288e3,6.477692535633752,0.6238948142961802,NO_ACTION,FRESH_LOW_RISK,20,32294,22.4,0.48,2.67,1
content_4c50a1ebc644,6.472919323545015,0.6839536010605144,REVIEW_REFRESH,STALE_VISIBLE,104,12886,35.3,0.03,0.61,1
content_a1fb4e703a9e,6.469333362065539,0.6713029967038353,NO_ACTION,FRESH_LOW_RISK,25,15320,20.3,0.05,0.0,1
content_f47336c85dbb,6.4690708940078405,0.6710307737027955,REVIEW_REFRESH,STALE_VISIBLE,104,15374,37.3,0.03,0.85,1
content_de6daf8fa5be,6.467997541078188,0.6569928952667408,REVIEW_REFRESH,STALE_VISIBLE,104,18860,28.3,0.04,0.85,0
content_59c260251c82,6.464139522689573,0.7117487625467873,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,20,8795,34.9,0.02,0.0,0
content_42e063dd7f01,6.463778245097608,0.6505664401770735,REVIEW_REFRESH,STALE_VISIBLE,104,20652,4.8,0.11,0.0,1
content_a6572397fe68,6.461774902976053,0.6970825939435636,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,26,10611,31.0,0.02,0.0,1
content_7a21f1aac586,6.459732906297726,0.6785047457868835,REVIEW_REFRESH,VISIBLE_STRIKING,20,13636,19.4,0.07,4.17,1
content_0f2015811c7e,6.459313826910981,0.7133444061220203,NO_ACTION,FRESH_LOW_RISK,20,8560,1.7,0.14,0.0,1
content_138f5ed01ac7,6.454793687634328,0.6050783598015637,REVIEW_REFRESH,STALE_VISIBLE,104,42945,6.2,0.04,2.94,1
content_50dfd64f9e8e,6.453554936660798,0.768281722402035,REVIEW_REFRESH,STALE_VISIBLE,104,4446,2.4,0.0,0.0,0
content_3c5020578d4f,6.453409906933979,0.6457157477986635,REVIEW_REFRESH,STALE_VISIBLE_STRIKING,104,21898,9.0,0.03,0.0,1
content_bb704201c499,6.452644411964531,0.626365332023367,NO_ACTION,FRESH_LOW_RISK,20,29783,22.0,0.67,3.4,1
content_a027a8c7ff1f,6.450936409830767,0.6042857826587743,NO_ACTION,FRESH_LOW_RISK,20,43273,24.2,1.01,2.43,1
content_033d8356c2d9,6.449825524401202,0.6175158261912487,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,20,34364,6.0,0.03,0.0,1
content_df1e8cee858c,6.448708430466358,0.7066487325645967,REVIEW_REFRESH,STALE_VISIBLE,106,9188,4.9,0.09,0.0,1
content_4402cfd84e63,6.446436577381275,0.6737535234281424,NO_ACTION,FRESH_LOW_RISK,20,14298,20.9,0.09,0.0,0
content_1edfb8639267,6.444532848203674,0.6937284020181306,NO_ACTION,FRESH_LOW_RISK,20,10825,28.8,0.04,0.0,0
content_1605ce53a19d,6.4434127351691535,0.6845557580923811,NO_ACTION,FRESH_LOW_RISK,20,12240,33.3,0.11,0.0,0
content_33c2582626ad,6.4430543194364915,0.7346590530806152,REVIEW_REFRESH,STALE_VISIBLE,104,6438,48.4,0.03,0.0,1
content_f4382a167e63,6.44218584253162,0.6701674009400123,REVIEW_REFRESH,STALE_VISIBLE,104,14954,25.1,0.02,0.0,1
content_12c48bcc972c,6.441881891729703,0.6981257983984926,NO_ACTION,FRESH_LOW_RISK,20,10171,28.0,0.03,0.0,1
content_e04eb9549989,6.440937257813071,0.7922661598326145,REVIEW_REFRESH,STALE_VISIBLE,104,3393,3.6,0.09,0.0,1
content_496544bf85aa,6.440012588409726,0.6421548305131632,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,40,22668,5.0,0.04,2.6,1
content_9f239fd94c27,6.439374756512687,0.6245341675015851,REVIEW_REFRESH,STALE_VISIBLE,104,30051,24.6,0.03,2.06,0
content_c8c5d1dc5039,6.437912340731531,0.6734557985549346,NO_ACTION,FRESH_LOW_RISK,20,14178,21.3,0.14,0.0,1
content_61f61fd28e79,6.437488615339372,0.7086724955692728,NO_ACTION,FRESH_LOW_RISK,20,8811,2.5,0.22,0.0,1
content_2e0b3dc70916,6.427757794232611,0.6278249629523254,REVIEW_REFRESH,STALE_VISIBLE,104,27948,6.9,0.04,6.25,0
content_adfa71f879e9,6.4257076839650065,0.6923936140570909,NO_ACTION,FRESH_LOW_RISK,20,10725,26.7,0.04,0.0,1
content_db82265bf939,6.42540515647569,0.6840271075427576,REVIEW_REFRESH,STALE_VISIBLE,104,12009,30.4,0.01,1.45,1
content_c01efc6bf8fb,6.423423981878951,0.6693279255232999,REVIEW_REFRESH,STALE_VISIBLE,104,14717,27.3,0.02,0.0,1
content_6cd7d29b6757,6.423336641591108,0.7343445158202562,REVIEW_REFRESH,STALE_VISIBLE,104,6291,4.3,0.08,9.09,1
content_af8c97b7c3fc,6.422800096910465,0.5936440492888937,NO_ACTION,FRESH_LOW_RISK,20,49974,20.2,1.3,4.46,1
