content_id,client_id,score,reason_code,action_label
content_54cee76fbd2d,client_19581e27de,37.29539045107911,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_111dcd1398da,client_6208ef0f77,37.189006975861915,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_7c42637f15c2,client_19581e27de,37.13064413422323,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_5b094f0828fc,client_19581e27de,36.98167159435552,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_61eed69c6d37,client_19581e27de,36.98089909531874,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_cfb021607215,client_4ec9599fc2,36.97510059224968,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_ed691c89d7a1,client_19581e27de,36.92488339822215,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_9888334d39cf,client_19581e27de,36.84296116799004,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_acba3f865bb8,client_19581e27de,36.830947944424274,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_4cd4de97b693,client_6208ef0f77,36.75319696439721,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_8de63e11071c,client_19581e27de,36.72694045986339,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_a7427266c305,client_19581e27de,36.63485173735657,STALE_VISIBLE,REVIEW_REFRESH
content_b01010836789,client_6208ef0f77,36.57081489304149,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_5e9035cd276f,client_6208ef0f77,36.53124467786778,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_cdab365262b1,client_d59eced1de,36.50653049161079,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_c5063073d048,client_6208ef0f77,36.498968977538595,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_e2f3474780b8,client_19581e27de,36.476845754260324,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_941ab7a9bdf7,client_19581e27de,36.32547996271689,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_47ab6754aff0,client_19581e27de,36.31591221511742,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_1816f5ff12ac,client_6208ef0f77,36.2847729622641,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_04131190b83e,client_6208ef0f77,36.28247371520418,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_27ecfa37a42a,client_6208ef0f77,36.21895455952644,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_7b15ac91c741,client_19581e27de,36.207253854991784,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_bbc985da741a,client_6208ef0f77,36.20678511414634,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_56c595926939,client_19581e27de,36.12772460800858,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_81f2f3657309,client_6208ef0f77,36.116712571608296,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_eb366e871254,client_6208ef0f77,36.0962468631611,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_b3e76ca33ba5,client_6208ef0f77,36.04658200425713,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_a53fb61dfbee,client_19581e27de,36.02260199728088,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_ea95d2494818,client_19581e27de,36.016707362786626,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_5ce1a9d3e4d7,client_8527a891e2,35.987103181769186,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_aaaa8246fb79,client_19581e27de,35.98462624813378,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_bcfe4a8b4220,client_19581e27de,35.98165190173325,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_e7596fea954a,client_8527a891e2,35.96774230003658,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_a74cf0499a8b,client_3fdba35f04,35.96126779199287,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_056dcd227c8f,client_4ec9599fc2,35.952785283980226,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_91652435f57a,client_19581e27de,35.94110871429111,STALE_VISIBLE,REVIEW_REFRESH
content_5feee3994adb,client_7f2253d7e2,35.854177167986975,STALE_VISIBLE,REVIEW_REFRESH
content_ec0e0f96eb11,client_19581e27de,35.8351893845611,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_8ba747cf969e,client_349c41201b,35.813971696399264,VISIBLE_STRIKING,REVIEW_REFRESH
content_d3aaf7d5f2fc,client_19581e27de,35.81300865843614,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_f42eb861c6dd,client_19581e27de,35.804130050836086,STALE_VISIBLE,REVIEW_REFRESH
content_a13305e0bdaa,client_3fdba35f04,35.80161263933184,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_98dd835c9a30,client_19581e27de,35.74571881443328,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_11fcfd65d94c,client_19581e27de,35.73679555339439,STALE_VISIBLE,REVIEW_REFRESH
content_6a5b8ccbd700,client_6208ef0f77,35.725727699070006,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_c2d929d83eaa,client_7f2253d7e2,35.72197674116871,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
content_97a86caf3a3d,client_19581e27de,35.70822631590317,STALE_VISIBLE,REVIEW_REFRESH
content_6eef5d9075a4,client_19581e27de,35.701285667775544,STALE_VISIBLE_STRIKING,REVIEW_REFRESH
